,id_user,hash_user,language_l1,language_l2,gender,age,accent,n_sensitive,n_sample,label
0,id01044,493d78e1dfba627250da5302b91ad9c65d80ba66498c46a9a5f77f92ad24d2cc9d1e75131f668768c6f778f15ac6f575d56b42a2e6024ac8a4082d88011cc826,Spanish,ca,female,old,ca_northwestern,3,9,11733
1,id00433,3329211b31133e474bbae7279985dcfea56165353ef18771a73072d3b9a4b4a372979744bb43e04284a3053e6a267c918646dbe44debd9711a60cb7ba8473440,Spanish,ca,female,old,ca_central,3,38,11122
2,id01232,1367ecf2cab5f0fca856fe7ec9eccdea2049511c2ea0b0d21560103b19844f6bf9eb81ca18f921960a88715c91fa932289e70655b53739737e81647b0b6adbec,Spanish,ca,female,old,ca_central,3,5,11921
3,id01169,955afa1ec13c893b9c6d1e6cb453b85628374aa4db1375dbb747fd06d46964e51b844cbd9a269e16c8303c0db0ffec1a6491b5cec31e05947dc3e5c3084ec7bc,Spanish,ca,female,old,ca_central,3,5,11858
4,id00154,ea9c016e1cfb7cd85124652bd469fed73ab7340516a86e8bceb364cc8567dfe10a284c7b940cf75c0939a5ee9c3a9ec744084e1c9ec24d9a51683c3711edcf58,Spanish,ca,female,old,ca_central,3,156,10843
5,id00179,44b592fd86353fdb42c347b4e56f850d59dd88e79687643d1c6c973f29dd932d31b1beab7a88f1b84824cf53ec72d5611727f36169cd049271ec6adfa2793f8e,Spanish,ca,female,old,ca_central,3,138,10868
6,id00438,c4b5691ff17e22e1dd9d7c45ebeec2c340515aa7a2b37e4d3e0c4060581274066a11c4ace736ebf18011f76e73a999a7c4bd229aa2b64160666eeaa1cb8e8a44,Spanish,"es,ba",female,old,,2,37,11127
7,id00810,615f92b7f306a0b8a007a47e4ae64dba5d7bb2ad502553ed9a3264512e396ebd8fbf3e0af1d512e82ec8f664e251cb09f2e53eebe7072397e08dbd52fb86c57f,Spanish,ca,female,old,ca_central,3,14,11499
8,id01097,a31bc793006b1c4a889a86e16846519f23360a54d95b14e3853ac344f7f2a0dba05d19ed1df02ce784fac4770089dd7665d7f92a9516641416e16189bf527f29,Spanish,ca,female,old,ca_central,3,8,11786
9,id01083,21e9238b62b448d4bbb714f8e27afc7c70b51a28016bb247592c36168e958e1cf2a0a47142f24975c40de32c588272495c7cdb6a6db4b46a0e1e497397ea032c,Spanish,es,female,old,,2,8,11772
