id_user,hash_user,language_l1,language_l2,gender,age,accent,n_sensitive,n_sample
id03990,6d6054a081499041e702c3328a54fa8c7e3ea814d170313025fec3cf0453267bcdfc0f1906869a329a83cbe35ea07697de0eeeab8b3e9ad40f0675951fd700bc,English,en,female,twenties,nan,2,13
id00056,185a19520056bd31c0b7613af5d9eb45e5b9eb8061127fc839233aac463eee2c687007a5977d117e7301d2c959de1b27d9331f7cb0bab85f776e64120795c77e,English,en,female,twenties,indian,3,625
id06590,2e239c72b8015d5bc666c03f17fc02a870f87340a576a8bc1a81a1b1b218cd7f89b6ab086f75b89ec4b851d3e65b8c8605b6755ed393f8a5a122028eadfc0857,English,en,female,fourties,australia,3,4
id00806,275cebeb6198f486d2965dcbf0971b9bda164c9369b803f8d1c139f367bc67505bb34b0004bdbed8184ca83903f43ab7ac393bf11b303dd0eae3dba9f1194fe4,English,en,female,twenties,nan,2,96
id02998,cf413e8bdda6de364affbad622b0dd9936b572dc0ebd90ea2de8f5a88be8c3e57b9ae74eee5eaa8f6d1dd0eaf6b49a3dd4f64fc20d0d879af9ddba2a0784548f,English,en,female,thirties,us,3,20
id06747,061ae00b0695a6e1d94ef07214eb4c4f4c98285a35a89cd8448b5e95b18d77c03e99878fc36ac9fffe5908a70d3b8f79aee5f1d3c4733aa2d3fa38f62c6d7cc9,English,en,female,twenties,nan,2,3
id01287,cb04b86d0304faa72b0387f5874b555bfa19b87e838b2055f24ece7c55b213e0c8039b36e472d97f5f03e90f465b9999df97f281302831b04eaffceda73f7fb9,English,en,female,fifties,nan,2,58
id04802,370c2a3db1b39f6673b310402fa4cf2afa85ae4d4bbdd978e7ef9c4b89f37eada17f7e2cba582262bb26a5d0d752a9bf7bdec43d15fb6ae54ceb869c286272cc,English,en,female,thirties,canada,3,9
id07367,8f2bd969ff999e3dc042096cf9f959f53b9ac69bf40e46e462877b1f1d32b511359a34fa5f2a186695d1fed0c65d45fcc32fab78229361ed36e15be344742241,English,en,female,thirties,nan,2,2
id03456,b23f5c5219acda405b64586f9c7252eeca363e3923d879e6fda3b9c2e59374cb524cc83d0ea6e702281b0da490bafd229d27ad94211e90df29921e1a1f1cf334,English,en,female,thirties,us,3,16
