id_user,hash_user,language_l1,language_l2,gender,age,accent,n_sensitive,n_sample
id02479,8d4affa28352cd5304a8538751b820cbea2d94f1b599c3b64a9f90534f523b0e51cd3abd8733be4639d9bd8e4c5c635669f8dc60bffe5f9799d32ca028952166,English,en,male,twenties,us,3,27
id04974,5547285ee2180184dd0ea01804871f5d1dc49127176cdbf21df2eeb4cd7814ab393ddb5cfa5f245a004e6dc99a7e05c5a92c901e6425b2d5ba9c5a080c767fa2,English,en,male,twenties,nan,2,9
id01014,ca7cda39eb3cae15fe2931ec97ffa845064c062c582ef0770ae4d1d65d8f3152aef62ac15e0b41620fbdedaba662ae4223a9efdd636a1c742c4c1afa8f57ccc6,English,en,male,thirties,england,3,74
id02054,93cccdc09f3e9e343131dc1775701ef8582e76f7673b160365140f0c54ce8ab4c4d97c97d6297b10532b4f02c25bf6cdc2eada1c3bc86023c1d096f0f0cf1708,English,en,male,twenties,us,3,34
id04542,b31fd2eeb2b9ed4c85013e5e8b1f85435cb2658b6a7823a41607015d75dcd4ecc6d628ab95e43c014ba27af45fd0de07304d4c611a5d89899904672f55247317,English,en,male,thirties,us,3,10
id06180,883a01a650650837f120e485556d0c12cdb36aba250583840c739449ad8ac473b01bebcbe675d3f9f74d32ea73460beb64f6de26b4e6c58f3d5ce157ff2616ab,English,en,male,teens,england,3,5
id00794,b1565d502a63f87135de54da031399e90a5afc0f0cfd246bb4cb6b5d2f077aa76320dc2bac7022fd2893e5c52f488fc935a82dd24bc6ba0db45f09a02e97b6de,English,en,male,fourties,us,3,97
id05302,0d2caee2cc12dbdddbd9232951e9c88c15ad8ddeb837a33e2656662c70dbe92d5d3ee14d37030472981c1653a712b878557b2b4c33300e8432669b461aab64a6,English,en,male,fourties,nan,2,7
id05306,86b5119be42f6ce39cafd931066e32b4387d911e06d33e511159bb110b3642079cc6faadf6cf4b12f611b16162ac4f6ae4949dce0a767c800529a19381e359c3,English,en,male,twenties,indian,3,7
id04770,ac4ac410b580aea34ed7dc80aedc6d4dd00a4d09a6672cc263011f2add86e4abbb4aaeb8ae63040050eddbb486c04e9c7be34ea18d328cc9122e4c10dfa6076b,English,en,male,thirties,england,3,9
id05260,66d2aceece22a4ba82ccebc954e53a6973afa93e1b88531e06dcb23399e9698b0918197b9aabe26aece5ad68c7867d61cfb2c9ef607a1cd7c327d35cf7addcdb,English,en,male,twenties,us,3,7
id06934,729527afec1834b7ec1f84a9e8b30a872dccb1b91a789b217188215ac4821b8db2a6c006966551e0b5eae427fd087930b4ec7b8e0dc348aa7b795dc27425198e,English,en,male,thirties,african,3,3
id07411,0fb0d34ab856754e2a24c758ebb9d5aae75f0cbd0b19836eb082d34097c18939fa29c7ed53253d2c27bc958c37e4bb3ac45fe08c5d7cf2efe46c3af23b96b2b8,English,en,male,fifties,us,3,2
id00821,5b6fb0cffd8d5d4e3096d317cc60a5b2ce3c025c268642efd7419c645d3aff7ff48c906de8691ca61790d4403ba87af5e16c6451af81ee445a5cae00c847b17b,English,en,male,twenties,other,3,94
id06720,43510e867473e698edc823024ba1656517ef363eca2d8ee103d1da4327be70934db1f25f1e84838d03befc39596a2084a2a4d64f51bcad18fc3fa3e86fabb159,English,en,male,teens,hongkong,3,3
id05742,e785c28a0d2b3c76b1612ed66d4d77c0ec63c942d409c1c5012055fbfea8306c875c90f07b79403a0e26f717b04ca23784851c40606c5568435d793d03176abf,English,en,male,fourties,us,3,6
id02523,50afdd47f94ade41775e8d13a41c03b75ca9b15fad0a3d6dc0278845af5a178216f0165eca2f23ad3e3c8caec283f1397d8d96018e20c33075c1a317f7c10ead,English,en,male,thirties,nan,2,26
id01345,3534e53f515b095a11d610cbc471ac4916d43135e92efe6e37dd3ce40becef793d1c1f51b264e090f8b5eb873a23eae420a38a244dcbf0d3d1cd8372d2b3e039,English,en,male,twenties,us,3,55
id05317,4218d7076d7e7807312be70260fb70b3ee7a45aa366452c1599c0f2b5f4b9e6183dd4d1feeac18205584c39b4ed207bbbac4f27a784d5e5fcb846504d0e7d53f,English,en,male,thirties,nan,2,7
id05220,2564b47aca33e58eb0cadcfffccdf43d69f49dc850f4b756ce98561d3c768bcb09ed9c5de3dee8a88d5d497223d4c3b5b41897a525f32fa8376cbe7a36439a49,English,en,male,twenties,canada,3,8
id00153,9e48c6229f1f1906d54db83927a9b98a943b8cee4b0f475f85971377e9c9b00ec2048bee01813332acda0cc7ba9f2200d1f729d4dc348597318102754db43cef,English,en,male,twenties,us,3,336
id02248,57b7a3febf5adc7449871be71f097f625c902a9427b6ce0053837c2f0164a44559b223d3e00f03c159bc38af53054cf2996f73101868a958cc396900b19ed611,English,en,male,thirties,england,3,30
id06789,e14da62a57eac0689e28d1c615c9b37e0912ac830bf779b24070edc86f28fa660210f64ec975775680bf2e2885238af57d9473f302af83caa3055af03597f273,English,en,male,twenties,nan,2,3
id07053,93639eeec32e368b7116b213776046b5cae953abb376a7d345ce212892e201b690dfb2214282bffea20094d7c82d4280d4629e4c2b5ac752ca2ce6171971f1f2,English,en,male,teens,indian,3,3
id05285,52c72180306eec708220138837591ffbefba03fda1f252f3ac44ee4a815cf847396b6ae7408f4efbb06436e813cdd6842e7e6b70b5518ea7f6443cfd4734898a,English,en,male,twenties,us,3,7
id06140,a4c4da33694350be9c95d35e15905b6734a7ed249081a7ee4979363ca3867780de56424ef948c4a55e8f6c59be41f585e951dea5ae3921f145857c6d3677d22e,English,en,male,teens,malaysia,3,5
id06188,ede740297d7d9847832edacfc1afbaffe68288475926a6574f8dc91352e96d70208ef92dbd127d6360cc5d46e0d0199c0f8dd11b66f0d33317071d0e7444da46,English,en,male,thirties,malaysia,3,5
id01553,3e4a15c05eb243fe2ec6f4dd4f4d68488264220005f87434697a76d9887969b8a63827d9b4692a673c1a67aa4ae9a20bdaad26f01025bca98455dbb08ad0d8d3,English,en,male,twenties,nan,2,47
id05828,116cfc03c201e86a9a4d98463a19c02b0d8a3923f76d09291529d7213062786fe6b80b31268add2f6a50b4b76494a0b625a7e86549a6dc5b25129c7a2d107a59,English,en,male,twenties,indian,3,5
id02349,5ce1aeb4e328ee4863ce1a3758a73170cc66da5661155c323a3c1b11d91794408bac98c8a22231dcbf2f0a078cb4fe9e6e42ac4a3fe920d730a22e8dc0fc6425,English,en,male,twenties,us,3,29
id04565,42d2006e2c0f1c8904ac4a4f002005913177e380a489e5c290587e1242fcd7d1a3b856f7e80341c04c8e095fe2cfacdcc40224947623bbc2fc66efea5f8b07b4,English,en,male,teens,australia,3,10
id03108,e79b236a2c7fcfe2062ac4efc5413a83620ed98569f9439e29137124e51e92a722679bf1bc156cb401fb54708da2ce6f909adec4b63b98cfdae343b2399d00f0,English,en,male,thirties,us,3,19
id04273,1998bb8e974ffb069a4f187a9bbcb35db31df3e319c17e1c055ad28c0b9325eda8b161958097cbf750c75b759f28bc4899cf21b00848506545d695df2124521f,English,en,male,twenties,nan,2,11
id04369,06c340d2a4411f29d88b74a921bd311920374625909140e2f98da0082d2ab0e8daf6eec229637013e97859b50af23c280ac80ef4439439b7805e267c151042b6,English,en,male,twenties,england,3,11
id00174,1f829ede5b664b77fc086e48a41d1c3c3adbe89d02ab5feb8262f452064ab24c55bfbd95442052c8813c55c86d24c1b838f60fd57aaaf0cce406feccd4a5db2c,English,en,male,twenties,nan,2,311
id04585,f6d8a989dd17ca9880e34895f3ec5cf2f2536270474edd4491527c1b04de875c9ae2119c3b15bca81ee85854c9c030272c6baf82d0a66fae75e188f6047efe9e,English,en,male,twenties,us,3,10
id03421,79e5b478465d814515e8d6098e001deb9a53d6c67c08f0f5567a06a068487e10921cae810c4aed2c2c6f8f4169deba91a25b0bc86e717c194320fae975e02012,English,en,male,twenties,indian,3,17
id06427,226418e69c83103190b0fb78c2cecc4c3399271e2603700a5b625e8fc6e527fc5c47443117f9086fe02d8cbe7912c73f2d5e25da9e532f81185737474906eb98,English,en,male,thirties,other,3,4
id06699,743fc6ce4b255a4860e253d7dd867ff0a5e1b33e21103068a82090964d7321eb4368bd200ff55ba8aa7c68371a2f257e5db09c9dfce4a85d21c62940b506c9c7,English,en,male,thirties,us,3,3
id05371,de5695eada36cc71b58c542516cd49400693bc069fe95796d365c289b4c256092cd9ba7bef2bef516cbe9a1cf1bf2ce10a3268ce94a61992fe010666a9fb3c97,English,en,male,thirties,indian,3,7
id02183,3b6d26b8b6814bbb9737bbcd5ee25780b534f38306f0da971ac5a5807f940deb8a0f1aaa046046e9735db4832de38269811d6cfceb4cd5323a3670cad616a1dd,English,en,male,twenties,us,3,31
id03600,ae68cf68a713de70eda17502c158b8b04c3d77ef93b6135c14e9c3c9082df6725409778266aa255c728a789b5cd2391fd263b0a40e0e22796879e4a1d5a143c1,English,en,male,fourties,scotland,3,15
id00654,bca3c0318d2ff86bc0cc4542e27e1695dcf2738cd66b5dcf737af8098fda1440273b8f7e948995d7bf3110422f99f520f7ca908ff46344b406c8d672bc619411,English,en,male,twenties,us,3,111
id07547,ab2e1a564fd84a7bbe67574807e54da5b65f4caeba5c9909bf28b516f4f4ea464c83a7df93a6b906a5758323e90df54be891aaca62e3266ffcd0f12a9052de3f,English,en,male,teens,indian,3,2
id00083,0c62e7bc794b538067d7d92ae657444639c585478b82240cfea92b48ceb7c93c8af87060b95cb4cc55ba098baf112d5bddc9573d656db1badc93f99e1bf60dc4,English,en,male,twenties,us,3,498
id04595,e0c4ae1972fd3f6d5391361de2b65340923269da459009c20e3ddb2bedf32b158473463d2cb08fc69974fb040c5d922c179f0e6e826724304ea9790ddc146d02,English,en,male,teens,nan,2,10
