id_user,hash_user,language_l1,language_l2,gender,age,accent,n_sensitive,n_sample
id01383,e52df0cd5163a7c1f1df71e28e502b15ab31a56ef2f3cc8e2e198111dab2c7756af43310690130df6386a52728c0d5bee7fc86cd00eb38e7c5b6e860341310f5,Spanish,es,male,fourties,es_andino,3,3
id00338,47301a71e7bef6bdb34d7d5eb424cd508f40cd74cb889dea56118a94aaa5541dc24f7abd984a332ae31d85ec1748d09eee3d92fb5d2225828125d68d6b0574b0,Spanish,ba,male,twenties,ba_erdialdekoa_nafarra,3,56
id00476,1d1c82053bb72d48f0cdd84a113be52db1f5ae054922df8237126e57f5ee81d3ffd6fe9cd926741a6276e7c0feb1fce8cc31375265258d855ceba85eefe929f1,Spanish,es,male,thirties,es_rioplatense,3,31
id00771,a213b24895b92b4aa81dd90f00382d356fbc21e4eb9f4e99496fa99faa829c89cd8ef5cbe400c32ca6cf2d870f8e313d64dc0d310860c6a6f7e747279f4d3936,Spanish,es,male,twenties,es_andino,3,15
id00804,6d8e15e0fe1fd74162b7dc66023b4cd5834ae278630f478457f8a3090f0d4799001d087f3573881783bea6aede0f0f4d7e074a9bbce51caedae589ec645caa47,Spanish,es,male,fourties,es_nortepeninsular,3,14
id00236,004e170e9fc6dd2facaf53e219efb9f80e5525e6ce1af3cc359824ae9a565a40413f13a64638857045c10cf4355c9437e87de64d1a8b8f3b0d263b07f2aa37b8,Spanish,ca,male,sixties,ca_central,3,98
id00293,8cfca2b18a314c0ee3fcf4f8a605b83efb990a2f2cb62bc9fa461bb25fd3ee8a87d3dcef0602e643fa527c59df60559eddc6bed251df738e468a85f7671520d5,Spanish,ca,male,fourties,ca_central,3,72
id00012,ce31dc5dfa61834e3ab67925ff5f24baf04b4aee6e35cd8ffa524f87b2e2e094999f85c68cc7a1c0e9b19016d050c1755406d02f7116ef85afa355c65a9a5855,Spanish,ca,male,fifties,ca_valencian,3,1494
id01347,a525e6ba7b9d2b970da2530910e3d2a3a5255cc2581c166aadee23d0fb0b708630ddd594763cd7bb66ac1d0587538556efebe025c9df27ebab1a7c1ac1930632,Spanish,ca,male,teens,ca_central,3,4
id00724,f49c8eec527dbe8716a30b838c3a4e746d5b6971bb5743341ffd0efa4eaafb512a57b1b34a16390135b6e7593e06c572af208c3dc3a92cca3637221c87e47768,Spanish,es,male,twenties,nan,2,17
id00129,c84215039588e9686a201893e3f011969d349ee437fedaac8aa3e0978a959abf1efc311ce37dd16b90264eb8aab45f66df4f5f215578b221332637734c957e46,Spanish,ba,male,fifties,ba_erdialdekoa_nafarra,3,185
id00987,91ed12a0adcd17b7f1859a9e262c813d633b82035a638b18d4e006bd863c57a183ecf7eac24038d549e7698dcfbed27258f5e95bc9da7fc5432da4da217797b9,Spanish,ca,male,thirties,ca_central,3,10
id00511,e7e7339910dfc5ec47a3460b234d5220a877a8802b86ba94e68b36c79256651583fafd3248de8f0f561acf4f588fd69c8c4384a09af4b9c886e9b49d9ef9dab3,Spanish,ca,male,fourties,ca_central,3,29
id00968,0b35ff63687ed20bf844c7e9568b19de2763cfd5aa1945376bcf17e7fd9d6d9e642276415eb9f812b166a965447037850658cd5b6c2ebe96b92ff51de1fe6c53,Spanish,ca,male,fourties,ca_valencian,3,10
id00246,200a89411d6c722cb43f1043e4e52a5a65d69f4070537cc35bdd437c74a2aaeed967b67fdf5eb1f45af9bcebc0233720dd9d2d176e8f636116a3c8f3ad331b1e,Spanish,ca,male,thirties,ca_central,3,92
